,season,episode,character,line
279,6,1,Tuong Lu Kim,Don't you know? Everybody hate Jared. He want everyone in world to have AIDS. He sick in the head.
280,6,1,Stan Marsh,What?!
281,6,1,Tuong Lu Kim,I don't want Shitty Wok have nothing to do with Jared land his AIDS.
282,6,1,Stan Marsh,Wait. Everyone hates Jared now?
283,6,1,Tuong Lu Kim,"Yah they, they gonna kill him. They gonna kill Jared downtown right now."
284,6,1,Stan Marsh,"Ugh, come on guys, we gotta sort this out. [the boys exit the store]"
285,6,1,Terrance & Phillip,"Here's a man's fart for ya. [farts, laughs]"
286,6,1,Terrance & Phillip,"God no! [laughs again, and Cartman joins in. The phone rings] Oh, Phillip, your anthrax has given me colon cancer!"
287,6,1,Eric Cartman,[answering] Hello?
288,6,1,Linda and Stephen Stotch,"[calling in from her office] Butters, your father called and said you made him very upset!"
289,6,1,Eric Cartman,"Yeah, well, Dad's being a little pussy, Mom."
290,6,1,Linda and Stephen Stotch,"[stunned, then] Butters, where did you get that kind of smart mouth?!"
291,6,1,Eric Cartman,"Uh not from you dumbasses, that's for sure."
292,6,1,Linda and Stephen Stotch,OH YOU JUST WAIT until I get home MISTER!
293,6,1,Eric Cartman,"Oh, I'll be waiting with horse bells on, you old... horse-bangin' skank. [hangs up] Eh. [resumes eating]"
294,6,1,Terrance & Phillip,"Ey! There's some anthrax over there! [farts, then roars with laughter]"
