,season,episode,character,line
182,14,2,Eric Cartman,Kenny... we only have to help her get killed and then we totally get back at Butters.
183,14,2,Kenny McCormick,"[looks over at Ms. Parker, then at Cartman] (Okay.)"
184,14,2,Eric Cartman,"[turns and walks over to Ms. Parker] Ms. Jessica Parker, over here. [Kenny follows.]"
185,14,2,Matt Lauer,"Well, the day has finally arrived. The eagerly awaited second novel from the author of Scrotie McBoogerballs hit the shelves this morning and apparently, bookstores are jammed."
186,14,2,Meredith Vieira,"Al, how is it out there?"
187,14,2,Al Roker,"[giggles] I don't know if you could see this, guys, but uh, the line stretches all the way around the block. People waiting for their turn to get inside the bookstore and read the novel. [the camera pans across the line from front to back and back again. The people in line smile and wave at the camera] And they brought trash bags and buckets to throw up in. Just a festive atmosphere here, Matt and Meredith."
188,14,2,Meredith Vieira,"Well, we've got our vomit buckets ready too, because coming up, a very special in-studio treat."
189,14,2,Matt Lauer,"That's right, we are going to have a reading of the first five chapters of the book here live in our studio. Na-now we must warn you that this is from the same author who wrote the most graphic, obscene novel of all time, so... brace yourselves for some very harsh language. Take it away Morgan Freeman."
190,14,2,Morgan Freeman,"[reading slowly, with gravitas] The Poop That Took A Pee Chapter 1: Douglas had to poop. His butt was all stinky because he had to poop so badly. There was a gross woman named Rebecca who was sunbathing all naked, and she was fat. Douglas walked up to her and said, ""I need to poop."" ""Okay,"" Rebecca replied, ""I like poop."" Douglas squatted down [turns the page] over the fat sunbathing lady and went poop. The poop sat there on Rebecca's boobs looking like a wiener. [turns the page] Chapter 2..."
191,14,2,Eric Cartman,See any hunters yet?
192,14,2,Kenny McCormick,(Not yet) [Ms. Parker is in a nearby clearing with moose horns attached to her head]
193,14,2,Eric Cartman,"Doing good, Ms. Jessica Parker! Just hang out, right there."
194,14,2,Kyle Broflovski,"Guys, stop, stop! [Kyle and Stan walk into view towards Cartman and Kenny] We don't have to do this!"
195,14,2,Kenny McCormick,(Huh?)
196,14,2,Kyle Broflovski,Butters wrote a second book!
197,14,2,Eric Cartman,So what?
198,14,2,Stan Marsh,"So dude, if Butters wrote a second book, then everyone's gonna know he couldn't have written the first one!"
199,14,2,Kyle Broflovski,We can get people to believe us now!
200,14,2,Eric Cartman,"Oh dude, sweet! [all four boys walk away, leaving Ms. Parker all alone at the mercy of any moose hunter that walks by her]"
201,14,2,Morgan Freeman,"""Why are we here?"" Douglas cried as poop came out his wiener, in a long, thin strip. It was... wiener poop, which is the grossest poop of all."
202,14,2,Shopper 1,"""The pee he got on the woman's leg, and she screamed, pooping out her boobs."""
203,14,2,Shopper 2,"""And so when the pee got mixed with the poop, it smelled like a butt."""
204,14,2,Stan Marsh,"[in store with the other boys] Aw dude, this is even lamer than we thought. [grins]"
205,14,2,Eric Cartman,People are gonna want Butters' head on a platter!
206,14,2,Shopper 3,"Are you reading this, Marsha? What do you think?"
207,14,2,Some Woman Named Marsha,"So far I think it's, it's incredible! Ih, it might be better than his first book."
208,14,2,Shopper 4,"I agree. It wasn't as edgy, but it's like, he he's gone back to his roots."
209,14,2,Eric Cartman,What?!
210,14,2,Stan Marsh,You can't be serious! You people like this?!
211,14,2,Shopper 5,Some of the imagery is unbelievable
212,14,2,Kyle Broflovski,A woman pooping out her boobs is not good imagery!
213,14,2,Shopper 6,"Says you! You must be a pro-life nut, huh? [slides into taunting] Didn't like what the book had to say?"
214,14,2,Some Woman Named Marsha,What are you talking about? This book is as pro-life as it gets!
215,14,2,Eric Cartman,Oh come on!
216,14,2,Stan Marsh,"God-damnit, will you people stop reading into stuff that isn't there!!"
217,14,2,Shopper 7,"""And the poop and the pee lived happily every after. The end."" [closes the book...] Kill the phonies. Kill the phonies!"
218,14,2,Kim Kardashian,Today my sisters and I are gonna shop for underwear.
219,14,2,The rest of the Kardashians,Yaaay!
220,14,2,Male Guest,Can I go with you girls? [the seventh shopper breaks into the set and guns everyone down]
221,14,2,News Anchor 2,"Our nation is still reeling from the tragic deaths of the Kardashians. The shooter claims he was driven to commit the slaughter immediately after reading The Poop That Took A Pee by Leopold ""Butters"" Stotch. It's all over. The Kardiashians.. [cries a bit and sheds a tear] wiped out. In the blink of an eye. All because one little PRICK... had to go and write a book."
222,14,2,News Anchor 2,Leopold Stotch... I HOPE THEY BURY YOU! ...YOU EVIL FUCK! [the anchorman falls silent and the door opens. Cartman and the other boys enter]
223,14,2,Eric Cartman,"Dude, people are pissed off at you, Butters."
224,14,2,Butters Stotch,I know.
225,14,2,Stan Marsh,"They're saying they're gonna ban both your books now, completely. You're not making any more money!"
226,14,2,Butters Stotch,[lifts his head up. He's been crying] You think I care about that? My writing got the most beautiful woman in the world killed! I loved her! And if she died it was because of me!
227,14,2,Kyle Broflovski,"Ah... Oh Butters, [steps forward] it'll be all right. Listen, we've all learned that people look for meaning in books. And sometimes, even if it isn't there, they'll try and invent their own meaning."
228,14,2,Stan Marsh,"Yeah, dude, eh, that's why we all need to avoid books and stick to television."
229,14,2,Butters Stotch,"Thang, thanks, fellas. I'll definitely never write again. I think I can get over this."
230,14,2,Eric Cartman,"That's good, Butters, because, we need to tell you something."
231,14,2,Butters Stotch,What?
232,14,2,Eric Cartman,[sighs heavily] You were sleepwalking again and dressed Sarah Jessica Parker up in a moose suit. You left her in the forest and she got shot by a hunter.
233,14,2,Butters Stotch,What?! Oh no!
234,14,2,Eric Cartman,"Yep, sorry. You're gonna have to come down and admit it was you. [walks out of the room with the other boys]"
235,14,2,Butters Stotch,"Aw. Aw I got her killed too? Aw uh, oh well, at least she was ugly. [leaves his desk and follows the other boys downstairs]"
